"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell"
"Dialga","008","11th Movie Commemoration Set","6.36","-17.00","-2.67",-17,"-2.67",2008,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.49","28.54","7.70","48.99"
"Icy Sky's Shaymin","001","11th Movie Commemoration Set","13.99","-17.00","-1.22",-17,"-1.22",2008,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.09","15.27","3.21","44.95"
"Pikachu","003","11th Movie Commemoration Set","22.00","-17.00","-0.77",-17,"-0.77",2008,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.41","31.00","4.61","101.50"
"Piplup","002","11th Movie Commemoration Set","9.65","-17.00","-1.76",-17,"-1.76",2008,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.61","25.16","5.28","51.00"
"Reverse World's Giratina","005","11th Movie Commemoration Set","6.05","-17.00","-2.81",-17,"-2.81",2008,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9.58","57.93","14.05","85.00"
"Shieldon","007","11th Movie Commemoration Set","7.43","-17.00","-2.29",-17,"-2.29",2008,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.36","17.50","5.38","40.00"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell"
"Ho-Oh Reverse","004","25th Anniversary Collection","6.50","-17.00","-2.62",-17,"-2.62",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.45","22.41","3.33","21.66"
"Mew","030","25th Anniversary Collection","98.00","-17.00","-0.17",-17,"-0.17",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.61","60.00","1.13","110.25"
"Mew Reverse","002","25th Anniversary Collection","7.14","-17.00","-2.38",-17,"-2.38",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.33","9.50","3.50","25.00"
"Pikachu V-Union","027","25th Anniversary Collection","6.29","-17.00","-2.70",-17,"-2.70",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.83","11.50","11.75","73.93"
"Pikachu V-Union","028","25th Anniversary Collection","13.99","-17.00","-1.22",-17,"-1.22",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.93","13.00","3.39","47.45"
"Pikachu V-UNION","025","25th Anniversary Collection","6.00","-17.00","-2.83",-17,"-2.83",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.58","9.50","3.42","20.50"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell"
"Pikachu","003","25th Anniversary Golden Box","5.05","-17.00","-3.37",-17,"-3.37",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.92","14.76","7.54","38.07"
"Pikachu V","001","25th Anniversary Golden Box","76.00","-17.00","-0.22",-17,"-0.22",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.20","91.50","4.67","355.00"
"Pikachu VMAX","006","25th Anniversary Golden Box","10.21","-17.00","-1.66",-17,"-1.66",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.15","21.99","3.17","32.43"
"Poke Ball","002","25th Anniversary Golden Box","34.99","-17.00","-0.49",-17,"-0.49",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.61","21.42","1.31","46.00"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell"
"Chansey ex","036","ADV Expansion Pack","7.85","-17.00","-2.17",-17,"-2.17",2003,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.67","28.80","10.61","83.30"
"Dustox","008","ADV Expansion Pack","5.84","-17.00","-2.91",-17,"-2.91",2003,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.32","25.21","6.18","36.12"
"Electabuzz ex","023","ADV Expansion Pack","13.63","-17.00","-1.25",-17,"-1.25",2003,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.04","54.99","10.64","144.99"
"Gardevoir","029","ADV Expansion Pack","8.90","-17.00","-1.91",-17,"-1.91",2003,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.75","24.50","19.82","176.50"
"Hitmonchan ex","030","ADV Expansion Pack","21.99","-17.00","-0.77",-17,"-0.77",2003,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.64","79.99","4.66","102.46"
