"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","MBuyPrice","MRatio","YearReleased","Language","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5BuyPrice","PSA5AvgSell","PSA6Ratio","PSA6BuyPrice","PSA6AvgSell","PSA7Ratio","PSA7BuyPrice","PSA7AvgSell","PSA8Ratio","PSA8BuyPrice","PSA8AvgSell","PSA9Ratio","PSA9BuyPrice","PSA9AvgSell","PSA10Ratio","PSA10BuyPrice","PSA10AvgSell"
"Dialga","008","11th Movie Commemoration Set","6.36","-17.00","-2.67",-17,"-2.67",7.26,"1.14",2008,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"4.49","7.26","28.54","7.70","24.64","48.99"
"Icy Sky's Shaymin","001","11th Movie Commemoration Set","13.99","-17.00","-1.22",-17,"-1.22",-4.02,"-0.29",2008,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.09","-4.02","15.27","3.21","21.21","44.95"
"Pikachu","003","11th Movie Commemoration Set","22.00","-17.00","-0.77",-17,"-0.77",9.35,"0.42",2008,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.41","9.35","31.00","4.61","69.27","101.50"
"Piplup","002","11th Movie Commemoration Set","9.65","-17.00","-1.76",-17,"-1.76",4.39,"0.45",2008,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.61","4.39","25.16","5.28","26.35","51.00"
"Reverse World's Giratina","005","11th Movie Commemoration Set","6.05","-17.00","-2.81",-17,"-2.81",32.24,"5.33",2008,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"9.58","32.24","57.93","14.05","55.25","85.00"
"Shieldon","007","11th Movie Commemoration Set","7.43","-17.00","-2.29",-17,"-2.29",-2.13,"-0.29",2008,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.36","-2.13","17.50","5.38","17.00","40.00"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","MBuyPrice","MRatio","YearReleased","Language","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5BuyPrice","PSA5AvgSell","PSA6Ratio","PSA6BuyPrice","PSA6AvgSell","PSA7Ratio","PSA7BuyPrice","PSA7AvgSell","PSA8Ratio","PSA8BuyPrice","PSA8AvgSell","PSA9Ratio","PSA9BuyPrice","PSA9AvgSell","PSA10Ratio","PSA10BuyPrice","PSA10AvgSell"
"Ho-Oh Reverse","004","25th Anniversary Collection","6.50","-17.00","-2.62",-17,"-2.62",1.41,"0.22",2021,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"3.45","2.05","22.41","3.33","1.41","21.66"
"Mew","030","25th Anniversary Collection","98.00","-17.00","-0.17",-17,"-0.17",34,"0.35",2021,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"0.61","34.00","60.00","1.13","76.71","110.25"
"Mew Reverse","002","25th Anniversary Collection","7.14","-17.00","-2.38",-17,"-2.38",-8.93,"-1.25",2021,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.33","-8.93","9.50","3.50","4.25","25.00"
"Pikachu V-Union","027","25th Anniversary Collection","6.29","-17.00","-2.70",-17,"-2.70",-7.22,"-1.15",2021,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.83","-7.22","11.50","11.75","45.84","73.93"
"Pikachu V-Union","028","25th Anniversary Collection","13.99","-17.00","-1.22",-17,"-1.22",-5.95,"-0.43",2021,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"0.93","-5.95","13.00","3.39","23.33","47.45"
"Pikachu V-UNION","025","25th Anniversary Collection","6.00","-17.00","-2.83",-17,"-2.83",-8.93,"-1.49",2021,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.58","-8.93","9.50","3.42","0.43","20.50"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","MBuyPrice","MRatio","YearReleased","Language","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5BuyPrice","PSA5AvgSell","PSA6Ratio","PSA6BuyPrice","PSA6AvgSell","PSA7Ratio","PSA7BuyPrice","PSA7AvgSell","PSA8Ratio","PSA8BuyPrice","PSA8AvgSell","PSA9Ratio","PSA9BuyPrice","PSA9AvgSell","PSA10Ratio","PSA10BuyPrice","PSA10AvgSell"
"Pikachu","003","25th Anniversary Golden Box","5.05","-17.00","-3.37",-17,"-3.37",-4.46,"-0.88",2021,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.92","-4.46","14.76","7.54","15.36","38.07"
"Pikachu V","001","25th Anniversary Golden Box","76.00","-17.00","-0.22",-17,"-0.22",60.77,"0.80",2021,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"1.20","60.77","91.50","4.67","284.75","355.00"
"Pikachu VMAX","006","25th Anniversary Golden Box","10.21","-17.00","-1.66",-17,"-1.66",1.69,"0.17",2021,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.15","1.69","21.99","3.17","10.57","32.43"
"Poke Ball","002","25th Anniversary Golden Box","34.99","-17.00","-0.49",-17,"-0.49",1.21,"0.03",2021,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"0.61","1.21","21.42","1.31","22.10","46.00"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","MBuyPrice","MRatio","YearReleased","Language","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5BuyPrice","PSA5AvgSell","PSA6Ratio","PSA6BuyPrice","PSA6AvgSell","PSA7Ratio","PSA7BuyPrice","PSA7AvgSell","PSA8Ratio","PSA8BuyPrice","PSA8AvgSell","PSA9Ratio","PSA9BuyPrice","PSA9AvgSell","PSA10Ratio","PSA10BuyPrice","PSA10AvgSell"
"Chansey ex","036","ADV Expansion Pack","7.85","-17.00","-2.17",-17,"-2.17",7.48,"0.95",2003,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"3.67","7.48","28.80","10.61","53.80","83.30"
"Dustox","008","ADV Expansion Pack","5.84","-17.00","-2.91",-17,"-2.91",4.43,"0.76",2003,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"4.32","4.43","25.21","6.18","13.70","36.12"
"Electabuzz ex","023","ADV Expansion Pack","13.63","-17.00","-1.25",-17,"-1.25",29.74,"2.18",2003,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"4.04","29.74","54.99","10.64","106.24","144.99"
"Gardevoir","029","ADV Expansion Pack","8.90","-17.00","-1.91",-17,"-1.91",3.82,"0.43",2003,"JAPANESE","0.60",0,0,0,0,0,0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,0,"-17.00",0,"2.75","3.82","24.50","19.82","133.03","176.50"
